,文件名,编号,最优分类,除以对角线的norm,除以全部和的norm
0,2on3,0,"[7, 2, 1, 0, 5, 6, 3, 4]",0.1109187107743604,0.060179300526514684
1,围棋1,0,"[3, 2, 1, 0]",0.05056293765910732,0.030669322842409356
2,围棋1,1,"[3, 2, 1, 0]",0.07021827598252206,0.03966528566951628
3,围棋1,2,"[2, 1, 0]",0.07844645405527362,0.05482816681282565
4,围棋1,3,"[2, 0, 1]",0.06298783035210676,0.04218996183961868
5,围棋1,4,"[4, 3, 2, 1, 0]",0.06505819318717423,0.03693982155542944
6,围棋1,5,"[6, 4, 3, 5, 2, 1, 0]",0.08444402743793118,0.044995722649408584
7,围棋1,6,"[1, 5, 3, 4, 2, 0]",0.039283710065919304,0.019506393963766827
8,围棋1,7,"[2, 1, 0]",0.03355465401072846,0.023328473740792173
9,围棋1,8,"[3, 2, 1, 4, 0]",0.0410958904109589,0.023622047244094488
10,围棋1,9,"[3, 2, 1, 0]",0.0273972602739726,0.015748031496062992
11,围棋2,0,"[2, 1, 0]",0.11164843913471803,0.06842968850192395
12,围棋2,1,"[2, 1, 0]",0.04040610178208843,0.027196414661021056
13,围棋2,2,"[4, 5, 1, 2, 3, 0]",0.02702702702702703,0.015151515151515152
14,围棋2,3,"[3, 2, 1, 0]",0.06388765649999399,0.03606561254031919
15,围棋2,4,"[2, 1, 0]",0.03822198817224581,0.030743773095067282
16,围棋2,5,"[5, 4, 3, 0, 1, 2]",0.12121830534626529,0.0642824346533225
17,围棋2,6,"[2, 0, 1, 5, 3, 4, 6]",0.13093073414159542,0.06546536707079771
18,围棋2,7,"[4, 3, 2, 5, 1, 0]",0.05094267081084933,0.030386856273138203
19,围棋2,8,"[4, 2, 0, 1, 3]",0.06804138174397717,0.04223258177212376
20,围棋2,9,"[1, 2, 0, 3]",0.08823529411764706,0.05555555555555555
21,围棋3,0,"[2, 1, 3, 0]",0.061487546190134565,0.039283710065919304
22,围棋3,1,"[2, 4, 3, 1, 0]",0.043478260869565216,0.024390243902439025
23,围棋3,2,"[0, 4, 3, 2, 1]",0.09797958971132713,0.055670221426890404
24,围棋3,3,"[0, 2, 1]",0.0,0.0
25,围棋3,4,"[2, 1, 3, 0]",0.0,0.0
26,围棋3,5,"[4, 3, 2, 1, 0]",0.05892556509887896,0.03721614637823934
27,围棋3,6,"[3, 2, 1, 0]",0.09797958971132713,0.056964877739143674
28,围棋3,7,"[3, 1, 4, 2, 0]",0.043478260869565216,0.024390243902439025
29,围棋3,8,"[3, 2, 4, 1, 0]",0.061487546190134565,0.039283710065919304
30,围棋3,9,"[4, 0, 2, 1, 3]",0.09421114395319917,0.05211680303793996
31,常识王,0,"[2, 1, 3, 0, 5, 4]",0.04223258177212376,0.03181155510108023
32,常识王,1,"[3, 2, 1, 0]",0.05146308673029155,0.030245849218680117
33,常识王,2,"[2, 1, 0]",0.036585365853658534,0.021126760563380278
34,常识王,3,"[2, 1, 3, 0]",0.0,0.0
35,常识王,4,"[1, 0, 2]",0.046144972973690364,0.0316709286558558
36,常识王,5,"[0, 1, 2]",0.07894736842105263,0.05263157894736842
37,常识王,6,"[1, 0]",0.13592233009708737,0.08722741433021806
38,常识王,7,"[1, 0]",0.0196078431372549,0.013793103448275864
39,常识王,8,"[2, 1, 0]",0.1009933303628402,0.060219625557966824
40,常识王,9,"[1, 0]",0.0,0.0
41,常识王,10,"[3, 1, 0, 2]",0.14272774324466742,0.07985957062499249
42,常识王,11,"[3, 2, 0, 1]",0.010597478566349716,0.008437992367923737
43,常识王,12,"[1, 0]",0.13592233009708737,0.08722741433021806
44,常识王,13,"[2, 1, 0]",0.04983719568243847,0.030689220499185797
45,常识王,14,"[2, 1, 0]",0.02014475655405216,0.01347028902108307
46,常识王,15,"[1, 0]",0.009259259259259259,0.0065359477124183
47,常识王,16,"[1, 2, 0]",0.02946278254943948,0.021427478217774167
48,常识王,17,"[3, 2, 1, 0]",0.03311201227233577,0.02055855707018649
49,常识王2,0,"[0, 2, 1]",0.0,0.0
50,常识王2,1,"[3, 4, 2, 1, 0]",0.0,0.0
51,常识王2,2,"[6, 5, 3, 0, 4, 2, 1]",0.08888888888888889,0.043243243243243246
52,常识王2,3,"[1, 0]",0.0,0.0
53,常识王2,4,"[3, 2, 1, 0]",0.03225806451612903,0.020979020979020983
54,常识王2,5,"[3, 2, 1, 0]",0.01639344262295082,0.012195121951219513
55,常识王2,6,"[5, 3, 1, 4, 2, 0]",0.07542472332656508,0.03721614637823934
56,常识王2,7,"[2, 0, 1]",0.03571428571428571,0.029411764705882353
57,常识王2,8,"[1, 0]",0.01020408163265306,0.008849557522123892
58,常识王2,9,"[1, 0]",0.0,0.0
59,常识王全,0,"[1, 0]",0.0,0.0
60,常识王全,1,"[2, 1, 0]",0.1009933303628402,0.060219625557966824
61,常识王全,2,"[3, 2, 1, 0]",0.03401506715249037,0.02150377808490771
62,常识王全,3,"[2, 1, 0]",0.036585365853658534,0.021126760563380278
63,常识王全,4,"[0, 1, 2]",0.07894736842105263,0.05263157894736842
64,常识王全,5,"[2, 1, 0]",0.02014475655405216,0.01347028902108307
65,常识王全,6,"[2, 1, 0]",0.04983719568243847,0.030689220499185797
66,常识王全,7,"[1, 0]",0.009259259259259259,0.0065359477124183
67,常识王全,8,"[3, 1, 0, 2]",0.14272774324466742,0.07985957062499249
68,常识王全,9,"[1, 2, 0]",0.02946278254943948,0.021427478217774167
69,常识王全,10,"[2, 1, 3, 0, 5, 4]",0.04223258177212376,0.03181155510108023
70,常识王全,11,"[1, 0]",0.0196078431372549,0.013793103448275864
71,常识王全,12,"[1, 0, 2]",0.046144972973690364,0.0316709286558558
72,常识王全,13,"[3, 2, 0, 1]",0.010597478566349716,0.008437992367923737
73,常识王全,14,"[3, 2, 1, 0]",0.05146308673029155,0.030245849218680117
74,常识王全,15,"[5, 4, 3, 2, 1, 0]",0.03680981595092024,0.02531645569620253
75,常识王全,16,"[1, 0]",0.13592233009708737,0.08722741433021806
76,常识王全,17,"[1, 0]",0.01020408163265306,0.008849557522123892
77,常识王全,18,"[2, 0, 1]",0.03571428571428571,0.029411764705882353
78,常识王全,19,"[1, 0]",0.0,0.0
79,常识王全,20,"[6, 5, 3, 0, 4, 2, 1]",0.08888888888888889,0.043243243243243246
80,常识王全,21,"[5, 3, 1, 4, 2, 0]",0.07542472332656508,0.03721614637823934
81,常识王全,22,"[3, 4, 2, 1, 0]",0.0,0.0
82,常识王全,23,"[3, 2, 1, 0]",0.03225806451612903,0.020979020979020983
83,常识王全,24,"[3, 2, 1, 0]",0.01639344262295082,0.012195121951219513
84,常识王全,25,"[0, 2, 1]",0.0,0.0
85,常识王全,26,"[1, 0]",0.0,0.0
86,常识王全,27,"[5, 3, 4, 2, 1, 0]",0.08323508834700119,0.05057943421676179
87,常识王全,28,"[2, 5, 4, 3, 1, 0]",0.04797209340831888,0.029708019291416754
88,常识王全,29,"[2, 6, 1, 3, 4, 5, 0]",0.014667603250198672,0.012371160317086759
89,常识王全,30,"[3, 1, 2, 0]",0.023860610002556834,0.020472992533058027
90,常识王全,31,"[3, 2, 0, 1]",0.027023189089931753,0.024105912994995937
91,常识王全,32,"[2, 1, 0]",0.007727942963787405,0.0060957481136771335
92,常识王全,33,"[5, 4, 3, 2, 1, 0]",0.023918015611579305,0.01733299232611285
93,常识王全,34,"[1, 0]",0.011363636363636364,0.010869565217391306
94,常识王全,35,"[1, 0]",0.0,0.0
95,常识王全,36,[0],0.0,0.0
96,常识王全,37,"[1, 0]",0.03,0.028301886792452827
97,常识王全,38,"[3, 2, 0, 1]",0.041408666249996104,0.03440104580768907
98,常识王全,39,"[1, 2, 0]",0.02073563662875946,0.012945129081796158
99,常识王全,40,"[1, 0]",0.13592233009708737,0.08722741433021806
100,数学王,0,"[1, 0]",0.013513513513513514,0.007246376811594203
101,数学王,1,"[2, 1, 0]",0.04419417382415922,0.0277296776935901
102,数学王,2,"[2, 0, 1]",0.05656854249492381,0.030743773095067286
103,数学王,3,"[2, 1, 0]",0.11684431519273261,0.07329325225725954
104,数学王,4,[0],0.0,0.0
105,数学王,5,"[2, 1, 0]",0.04411764705882353,0.02459016393442623
106,数学王,6,"[0, 2, 1]",0.0,0.0
107,数学王,7,"[0, 1]",0.14492753623188406,0.09615384615384616
108,数学王,8,"[3, 2, 1, 5, 4, 0]",0.05773502691896258,0.034990925405431875
109,数学王,9,"[1, 0]",0.0273972602739726,0.019607843137254905
110,数学王2,0,"[5, 4, 2, 0, 1, 3]",0.06133864568481871,0.04157397096415492
111,数学王2,1,"[3, 2, 1, 0]",0.10628300005118925,0.0751757805240119
112,数学王2,2,"[0, 3, 2, 0, 1]",0.06437388966352588,0.04096520251315283
113,数学王2,3,"[5, 4, 3, 2, 1, 0]",0.0,0.0
114,数学王2,4,"[6, 5, 3, 2, 1, 4, 0]",0.0,0.0
115,数学王2,5,"[3, 0, 2, 1]",0.13561910706853222,0.08718371168691359
116,数学王2,6,"[5, 4, 0, 3, 2, 1]",0.034493013716416956,0.026189140043946207
117,数学王2,7,"[6, 1, 0, 4, 5, 3, 2]",0.037267799624996496,0.026940578042166142
118,数学王2,8,"[6, 5, 4, 3, 2, 1, 0]",0.0,0.0
119,数学王2,9,"[4, 3, 2, 1, 6, 0, 5]",0.022727272727272728,0.018518518518518517
120,数学王3,0,"[2, 1, 0]",0.15,0.09999999999999999
121,数学王3,1,"[3, 2, 1, 0]",0.05555555555555555,0.049999999999999996
122,数学王3,2,"[4, 3, 0, 2, 1]",0.09523809523809523,0.06666666666666667
123,数学王3,3,"[2, 1, 0]",0.0,0.0
124,数学王3,4,"[1, 0]",0.0,0.0
125,数学王3,5,"[3, 2, 1, 0, 4]",0.0,0.0
126,数学王3,6,"[1, 0]",0.0,0.0
127,数学王3,7,"[3, 2, 1, 0]",0.0,0.0
128,数学王3,8,"[3, 2, 0, 1]",0.0,0.0
129,数学王3,9,"[2, 1, 0]",0.0,0.0
130,数学王3,10,"[1, 0, 0]",0.1663222469567859,0.11266990922879046
131,数学王3,11,"[2, 1, 0]",0.05,0.045454545454545456
132,老数学王,0,"[2, 1, 0]",0.06726457399103139,0.0390625
133,老数学王,1,"[1, 2, 0]",0.009679947954544544,0.0071439871485616275
134,老数学王,2,"[3, 2, 1, 0]",0.03484074280536199,0.02133877472631927
135,老数学王,3,"[3, 2, 1, 0]",0.03484074280536199,0.02133877472631927
136,老数学王,4,"[1, 0, 5, 4, 3, 2]",0.06083219915509032,0.04105636056050265
137,老数学王,5,"[1, 0, 5, 4, 3, 2]",0.06083219915509032,0.04105636056050265
138,老数学王,6,"[1, 5, 0, 4, 3, 2]",0.07242503984102171,0.04896022942523897
139,老数学王,7,"[5, 4, 3, 2, 1, 0]",0.03680981595092024,0.02531645569620253
140,读音王,0,"[4, 3, 2, 5, 1, 0]",0.05974365226300435,0.03602190798210556
141,读音王,1,"[3, 1, 2, 0]",0.08247860988423225,0.04745344678270896
142,读音王,2,"[1, 0]",0.045454545454545456,0.03571428571428572
143,读音王,3,"[0, 2, 1]",0.02631578947368421,0.020833333333333332
144,读音王,4,"[2, 1, 3, 0]",0.0,0.0
145,读音王,5,"[1, 0]",0.022727272727272728,0.013157894736842106
146,读音王,6,"[5, 2, 1, 0, 4, 3]",0.041666666666666664,0.02564102564102564
147,读音王,7,"[2, 1, 0]",0.0,0.0
148,读音王,8,"[2, 3, 0, 1]",0.08784104611578832,0.06081303192631498
149,读音王,9,[0],0.0,0.0
150,读音王,10,[0],0.0,0.0
151,读音王2,0,"[0, 0]",0.1635070563749302,0.09450407845523487
152,读音王2,1,"[1, 0]",0.24193548387096775,0.13636363636363638
153,读音王2,2,"[1, 0]",0.16129032258064516,0.09708737864077671
154,读音王2,3,"[0, 0]",0.1507835305000915,0.08877908805145578
155,读音王2,4,"[5, 3, 4, 2, 1, 0]",0.0,0.0
156,读音王2,5,"[1, 0]",0.20634920634920634,0.1262135922330097
157,读音王2,6,"[2, 1, 0]",0.2087769275867604,0.12408440035816894
158,读音王2,7,"[1, 0]",0.016666666666666666,0.01388888888888889
159,读音王2,8,[0],0.0,0.0
160,读音王2,9,"[0, 0]",0.24005056116779436,0.138142304068259
161,读音王3,0,"[1, 0]",0.2727272727272727,0.14285714285714285
162,读音王3,1,"[3, 2, 1, 0]",0.1538618516324144,0.0868574968892662
163,读音王3,2,"[3, 1, 2, 0]",0.15649215928719032,0.08298826628866154
164,读音王3,3,"[1, 0]",0.14285714285714285,0.08620689655172414
165,读音王3,4,"[1, 0]",0.12121212121212122,0.07142857142857142
166,读音王3,5,"[1, 0]",0.09090909090909091,0.05882352941176471
167,读音王3,6,"[0, 1]",0.06451612903225806,0.04545454545454545
168,读音王3,7,"[2, 1, 0]",0.14285714285714285,0.09615384615384615
169,读音王3,8,"[1, 2, 0]",0.03225806451612903,0.020408163265306124
170,读音王3,9,"[0, 2, 3, 4, 1]",0.03125,0.020833333333333332
171,读音王3,10,"[3, 1, 2, 0]",0.0,0.0
172,读音王3,11,"[1, 0]",0.0,0.0
173,读音王4,0,"[1, 0]",0.047619047619047616,0.03614457831325301
174,读音王4,1,"[2, 0, 1]",0.0,0.0
175,读音王4,2,"[3, 1, 0, 2]",0.03337414891790731,0.027269121676826706
176,读音王4,3,"[0, 2, 1]",0.0,0.0
177,读音王4,4,"[3, 1, 0, 4, 2]",0.027269121676826706,0.018179414451217804
178,读音王4,5,"[1, 0]",0.0,0.0
179,读音王4,6,"[1, 0]",0.0,0.0
180,读音王4,7,"[0, 1]",0.0449438202247191,0.03333333333333333
181,读音王4,8,"[2, 1, 0]",0.16012060682010332,0.09588617733994557
182,读音王4,9,"[2, 1, 3, 0]",0.0,0.0
183,读音王4,10,"[1, 0]",0.0,0.0
184,读音王4,11,"[4, 1, 2, 0, 3]",0.03387981784090591,0.022817020178569285
